Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
316,Nehemiah Oriola,MF,Brighton,18-149,2007,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,William Osula,FW,Newcastle Utd,22-095,2003,10,1,219,2.4,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.7,4,2,12,0.41,0,0.41,0.41,0.41,0.27,0.03,0.3,0.27,0.3
318,Dango Ouattara,FW,Brentford,23-269,2002,9,6,552,6.1,2,0,2,2,0,0,1,0,2.5,2.5,0.7,3.2,16,7,40,0.33,0,0.33,0.33,0.33,0.41,0.12,0.53,0.41,0.53
319,Nico O'Reilly,DF,Manchester City,20-231,2005,9,6,596,6.6,1,1,2,1,0,0,2,0,0.8,0.8,0.7,1.6,23,12,33,0.15,0.15,0.3,0.15,0.3,0.13,0.11,0.23,0.13,0.23
320,Joao Palhinha,MF,Tottenham,30-121,1995,10,9,783,8.7,2,1,3,2,0,0,2,0,0.6,0.6,0.1,0.7,3,25,8,0.23,0.11,0.34,0.23,0.34,0.07,0.01,0.08,0.07,0.08
321,Cole Palmer,MF,Chelsea,23-185,2002,3,2,145,1.6,1,0,1,1,0,0,0,0,0.8,0.8,0,0.8,9,11,14,0.62,0,0.62,0.62,0.62,0.5,0.01,0.51,0.5,0.51
322,Lucas Paqueta,"MF,FW",West Ham,28-072,1997,10,10,876,9.7,3,0,3,2,1,1,4,0,1.7,1,1.1,2,6,68,38,0.31,0,0.31,0.21,0.21,0.18,0.11,0.29,0.1,0.21
323,Lucas Perri,GK,Leeds United,27-332,1997,5,5,450,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,?or?e Petrovi?,GK,Bournemouth,26-030,1999,10,10,900,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,Jordan Pickford,GK,Everton,31-245,1994,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,Ethan Pinnock,DF,Brentford,32-162,1993,2,2,155,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
327,Yeremi Pino,MF,Crystal Palace,23-018,2002,8,7,506,5.6,0,0,0,0,0,0,2,0,1.2,1.2,1.2,2.5,10,34,40,0,0,0,0,0,0.22,0.22,0.44,0.22,0.44
328,Joel Piroe,"FW,MF",Leeds United,26-097,1999,4,2,164,1.8,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,1,1,6,0,0,0,0,0,0.31,0,0.31,0.31,0.31
329,Nick Pope,GK,Newcastle Utd,33-202,1992,10,10,900,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,Pedro Porro,DF,Tottenham,26-055,1999,10,9,799,8.9,0,1,1,0,0,0,1,0,0.1,0.1,1.2,1.3,19,47,22,0,0.11,0.11,0,0.11,0.01,0.14,0.15,0.01,0.15
331,Freddie Potts,MF,West Ham,22-056,2003,5,1,224,2.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,7,2,0,0,0,0,0,0,0.02,0.02,0,0.02
332,Jacob Ramsey,MF,Newcastle Utd,24-163,2001,4,1,126,1.4,0,0,0,0,0,0,1,0,0,0,0.3,0.3,6,7,11,0,0,0,0,0,0.02,0.23,0.25,0.02,0.25
333,David Raya,GK,Arsenal,30-053,1995,10,10,900,10,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,4,0,0,0,0,0,0,0,0.01,0.01,0,0.01
